date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:04	34822/34822	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:05%20GMT	http://www.fpiupdates.com.ng/	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/index.html	(from )
13:34:04	1817/1817	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2012:34:05%20GMT	http://www.fpiupdates.com.ng/robots.txt		(from )
13:34:10	84320/84320	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from http://www.fpiupdates.com.ng/)
13:34:13	202/202	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Jan%202023%2014:18:30%20GMT	http://www.fpiupdates.com.ng/assets/css/success.css	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/css/success.css	(from http://www.fpiupdates.com.ng/)
13:34:14	38615/38615	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Apr%202023%2010:56:51%20GMT	http://www.fpiupdates.com.ng/assets/css/style.css	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/css/style.css	(from http://www.fpiupdates.com.ng/)
13:34:14	36868/36868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c5b5b2fa19bd66ff23211d9f844e0131%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	(from http://www.fpiupdates.com.ng/)
13:34:17	22683/22683	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2003:28:14%20GMT	http://www.fpiupdates.com.ng/assets/img/favicon.png	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/img/favicon.png	(from http://www.fpiupdates.com.ng/)
13:34:18	100782/100782	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/css/all.min.css	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/css/all.min.css	(from http://www.fpiupdates.com.ng/)
13:34:19	274509/274509	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202023%2023:42:28%20GMT	https://fpiupdates.com.ng/media/featuredImage/FPI%20OLEVEL%20Combinations.jpg	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/fpiupdates.com.ng/media/featuredImage/FPI%20OLEVEL%20Combinations.jpg	(from http://www.fpiupdates.com.ng/)
13:34:20	80388/80388	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/css/fontawesome.min.css	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/css/fontawesome.min.css	(from http://www.fpiupdates.com.ng/)
